"filename", "language", "JavaScript", "JSON with Comments", "vue", "TypeScript", "Less", "XML", "Batch", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"f:\gcrypt\gcrypt\.eslintrc.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"f:\gcrypt\gcrypt\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 10, 37
"f:\gcrypt\gcrypt\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"f:\gcrypt\gcrypt\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36942, 0, 1, 36943
"f:\gcrypt\gcrypt\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 1, 69
"f:\gcrypt\gcrypt\public\assets\about\chrome.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\gcrypt\gcrypt\public\assets\about\element-plus-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\gcrypt\gcrypt\public\assets\about\vuetify.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"f:\gcrypt\gcrypt\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"f:\gcrypt\gcrypt\run.bat", "Batch", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\gcrypt\gcrypt\src\App.vue", "vue", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 8, 20, 188
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\KVPEngineJson.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 42, 13, 153
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\adapter.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 63, 24, 251
