"filename", "language", "vue", "TypeScript", "JavaScript", "JSON with Comments", "Batch", "Markdown", "HTML", "XML", "JSON", "comment", "blank", "total"
"f:\gcrypt\gcrypt\.eslintrc.js", "JavaScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -1, -31
"f:\gcrypt\gcrypt\README.md", "Markdown", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, -10, -37
"f:\gcrypt\gcrypt\babel.config.js", "JavaScript", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"f:\gcrypt\gcrypt\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -36942, 0, -1, -36943
"f:\gcrypt\gcrypt\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -68, 0, -1, -69
"f:\gcrypt\gcrypt\public\assets\about\chrome.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\gcrypt\gcrypt\public\assets\about\element-plus-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\gcrypt\gcrypt\public\assets\about\vuetify.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -1, -7
"f:\gcrypt\gcrypt\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, -27, 0, 0, -1, -4, -32
"f:\gcrypt\gcrypt\run.bat", "Batch", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\gcrypt\gcrypt\src\App.vue", "vue", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -38
"f:\gcrypt\gcrypt\src\api\File.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 6, 13, 74
"f:\gcrypt\gcrypt\src\api\FileWatcher.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 8, 61
"f:\gcrypt\gcrypt\src\api\OpenMethodMgr.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 9, 59
"f:\gcrypt\gcrypt\src\api\TabsMgr.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\KVPEngineJson.ts", "TypeScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, 6, 1, -1
