"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "XML", "comment", "blank", "total"
"f:\gcrypt\gcrypt\src\App.vue", "vue", 126, 0, 0, 0, 0, 8, 16, 150
"f:\gcrypt\gcrypt\src\api\File.ts", "TypeScript", 0, 55, 0, 0, 0, 6, 13, 74
"f:\gcrypt\gcrypt\src\api\FileWatcher.ts", "TypeScript", 0, 50, 0, 0, 0, 3, 8, 61
"f:\gcrypt\gcrypt\src\api\OpenMethodMgr.ts", "TypeScript", 0, 48, 0, 0, 0, 2, 9, 59
"f:\gcrypt\gcrypt\src\api\TabsMgr.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 5, 29
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\KVPEngineJson.ts", "TypeScript", 0, 90, 0, 0, 0, 48, 14, 152
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\adapter.ts", "TypeScript", 0, 173, 0, 0, 0, 73, 27, 273
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\createNewLib.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 10, 58
"f:\gcrypt\gcrypt\src\api\core\adapters\gcryptV1\encryptionEngineAES192.ts", "TypeScript", 0, 43, 0, 0, 0, 10, 9, 62
"f:\gcrypt\gcrypt\src\api\core\common\Addr.ts", "TypeScript", 0, 65, 0, 0, 0, 9, 13, 87
"f:\gcrypt\gcrypt\src\api\core\types\AdapterBase.ts", "TypeScript", 0, 13, 0, 0, 0, 5, 3, 21
"f:\gcrypt\gcrypt\src\api\core\types\dirSingleItem.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"f:\gcrypt\gcrypt\src\api\core\types\fileTable.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 3, 9
"f:\gcrypt\gcrypt\src\api\core\types\singleFileMetaData.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 2, 8
"f:\gcrypt\gcrypt\src\api\core\types\storageLibMetaData.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"f:\gcrypt\gcrypt\src\api\getCurrentProcessInfo.ts", "TypeScript", 0, 11, 0, 0, 0, 6, 2, 19
"f:\gcrypt\gcrypt\src\api\registerBuiltinOpenMethods.ts", "TypeScript", 0, 54, 0, 0, 0, 7, 2, 63
"f:\gcrypt\gcrypt\src\assets\json\defaultSettings.ts", "TypeScript", 0, 141, 0, 0, 0, 0, 4, 145
"f:\gcrypt\gcrypt\src\assets\logo.svg", "XML", 0, 0, 0, 0, 6, 0, 1, 7
"f:\gcrypt\gcrypt\src\background.js", "JavaScript", 0, 0, 134, 0, 0, 28, 13, 175
"f:\gcrypt\gcrypt\src\components\AdvancedNotification\NotificationCard.vue", "vue", 297, 0, 0, 0, 0, 6, 39, 342
"f:\gcrypt\gcrypt\src\components\AdvancedNotification\NotificationManager.vue", "vue", 265, 0, 0, 0, 0, 4, 18, 287
